Name,Company,Customer Type,Email,Phone,Mobile,Fax,Website,Street,City,State ,ZIP,Country,Opening Balance,Date,Resale Number
Byran Tublin,RDP Inc.,Wholesale Trade,IloveQBO@hotmail.com,555-5555,555-555-1234,555-5556,http://www.rdpinc.com,123 Accounting Lane,San Francisco,CA,12345,United States,234000.12,1988-12-31,
Adam Saraceno,InnoVate LLC,,Bigtimer@gmail.com,555-5556,555-555-2345,555-5557,http://www.innovate.com,45 Chart of Accounts Rd.,Seattle,WA,12345,United States,-1000.8764,2015-09-23,
Kristen Berman,Heavyinvoicer LLC,Retail Trade,Startupright@billingmanager.com,555-5557,555-555-3456,555-5558,http://www.heavyinvoicer.com,67 Invoiceme,Antioch,IL,12345,United States,235788.0098,2015-09-23,
Aaron E Berhanu,Maple Leaf Inc.,,Theboss@yahoo.com,555-5558,555-555-4567,555-5559,http://www.mapleleaf-inc.com,6789 Expensereport,Chicago,IL,12345,United States,1234,2015-09-23,
Tommy Leep,TimeCatcher LLC,Retail Trade,Timeismoney@aol.com,555-5559,555-555-5678,555-5550,http://www.timecatcher.com,56 Money,Nashville,TN,12345,United States,-12345678901,2015-09-23,
Nicholas Anderson,MountainMan Inc.,Wholesale Trade,Upforstuff@gmail.com,555-5560,555-556-6789,555-5561,http://www.mountainman-inc.com,689 Billit,Knoxville,TN,12345,United States,10999,2015-09-23,
Jennie Tan,WordSmither,Construction,Simplicity@aol.com,555-5561,555-556-7890,555-5562,http://www.wordsmither.com,89 salesreport,Oakland,CA,12345,United States,1004,2015-09-23,
Bridget O'Brien,CustomersRus LLC,,QBOrocks@yahoo.com,555-5562,555-556-8901,555-5563,http://www.customersruscorp.com,4890 easy,Portland,OR,12345,United States,19999999999,2015-09-23,
Jon D Fasoli,Account-dracula Inc.,,Accountantsarefunpeopletoo@yahoo.com,555-5563,555-556-9012,555-5564,http://www.account-draculainc.com,123 Accounts Recievable,Miami,FL,12345,United States,-9000,2015-09-04,
,,,,,,,,,,,,,,,
"All data is 
for sample purposes only",,,,,,,,,,,,,,,
